GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,22,IT,In full-time Education,In or completed vet education,"75,25",100,"91,75",89,100,"91,75",75,100,"91,75","83,25","89,87","83,5","75,25","75,25","41,5","68,88","75,25","93,4",78,"75,25","81,67","83,5","91,75","66,67","58,5","74,46"
Male,21,IT,In full-time Education,In or completed secondary education,"58,5","58,5",50,"55,67",67,"58,5",67,"55,67",50,50,"58,13",50,"41,5","41,5",33,"41,5",67,67,67,67,"65,11","58,5","58,5","44,33",67,"59,15"
Female,19,IT,In full-time Education,In or completed higher education,67,"75,25","83,5","75,25","91,75","83,5","66,5",78,"66,75","58,5",74,"83,5","58,25",67,"58,25","66,75","58,5",60,"55,67",25,"51,94","58,5",50,"55,67","8,25","38,46"
Female,28,IT,Unemployed,In or completed higher education,"66,75","83,5","66,5","72,25","58,25",75,"58,25",67,"83,25",50,"65,22","49,75","24,75",33,"33,25","35,19","33,25","86,6","33,33","33,25","49,94","66,75","66,5","33,33","41,5","53,77"
Male,19,IT,In full-time Education,In or completed secondary education,"58,25","91,75","83,25","77,75",100,"75,25",50,100,100,"58,25","79,74","91,75","83,5","41,5","24,75","60,38","66,75","86,6",78,75,"77,83",75,100,"55,33","83,25","79,38"
Male,19,IT,In full-time Education,In or completed higher education,"58,5","91,75",50,"66,75","75,25","83,5",75,67,100,"66,5","78,35","75,25","58,5","58,5",50,"60,56","58,5","60,2",67,67,"63,22",67,67,"55,67",67,"64,38"
Male,20,IT,In full-time Education,In or completed higher education,100,"91,75","83,5","91,75","83,5",75,75,89,67,"66,75","75,48","83,5","83,5","75,25","41,5","70,94","66,75","86,8",67,"83,5","77,94","83,5","75,25","55,67",67,"69,46"
Female,21,IT,In full-time Education,In or completed vet education,75,"83,5",75,"77,83","58,25","66,5","58,25","55,67","75,25","58,25","62,3",75,"33,25","41,75","33,25","45,81","58,5","66,8","55,67","58,5","61,28",67,"66,75","55,67","66,75","64,23"
Male,20,IT,In full-time Education,In or completed secondary education,75,"58,5","83,5","72,33","75,25","83,5","58,5",89,67,"41,75","68,3","83,5",50,50,67,"62,63","58,5","60,2","55,67","58,25","61,22","83,5",67,"44,33","75,25","66,85"
Male,24,IT,In full-time Education,In or completed higher education,"91,75","83,5","83,25","86,17","91,75","83,5",75,89,"75,25","66,75","79,83","75,25",50,"66,5","58,5","62,56","91,75","86,6",78,67,"81,61","91,75","91,75","66,67","83,5","84,69"
Male,19,IT,In full-time Education,In or completed higher education,"49,75","75,25",75,"66,67",100,"75,25","91,75","55,67","58,5","33,5","69,7","66,75","33,25","33,25","16,5","37,44","33,25","53,6","44,33","33,25","42,61","58,5","66,75","44,33",67,"61,69"
Male,20,IT,In full-time Education,In or completed vet education,50,"75,25",50,"58,42","58,25","58,5","41,5",78,"75,25","41,75","58,04","50,25","41,5","41,5","75,25","52,13","58,5","60,2","55,67","58,25","59,39","66,75","83,5","55,67","83,5","74,46"
Male,20,IT,In full-time Education,In or completed vet education,75,75,"91,75","80,58",100,"91,75",100,89,100,100,"97,13","91,75","91,75",100,67,"87,63",100,"86,8",78,"75,25","85,33","75,25",75,67,67,"69,46"
Male,46,IT,In Employment,In or completed vet education,"83,5","83,5",75,"80,67","66,5",100,"83,25",89,"66,75","41,5","73,87","66,75","58,25","41,5",0,"41,63","16,5","26,4",33,50,"35,06","50,25","75,25","66,67","91,75","71,92"
Male,21,IT,In full-time Education,In or completed higher education,"58,25","75,25","58,25","63,92","66,75",50,50,33,"66,75","33,25","50,7",50,"24,75","41,75","41,5","39,5","24,75","60,2","33,33",50,"46,33","58,5",50,"33,33","41,75","43,62"
Male,22,IT,In full-time Education,In or completed vet education,"66,75","75,25","83,5","75,17","75,25","66,75",75,67,"83,5","66,75","72,61","66,75","66,75","66,75","41,75","60,5","58,5",67,"55,67","75,25","66,89","66,75","66,75","33,33","58,25","53,85"
Male,19,IT,In full-time Education,In or completed higher education,"91,75","91,75","91,75","91,75",100,"83,5","50,25",100,"83,5",75,"81,26","91,75","91,75","58,5",25,"66,75","66,75",60,67,"75,25","70,5","83,5",100,"55,33","83,5","79,54"
Male,20,IT,In Employment,In or completed higher education,"83,5",100,"91,75","91,75",100,100,"83,5",89,"91,75","91,75","92,83",100,100,67,"83,5","87,63","58,5","80,2","44,67",75,"68,67","91,75","91,75",67,"75,25","82,23"
Male,24,IT,In Employment,In or completed vet education,100,"91,75",100,"97,25",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Male,21,IT,In Employment,In or completed higher education,"16,5",50,50,"38,83","33,25",50,"41,75",33,"41,5","41,75","40,52",25,"24,75","16,5",0,"16,56","24,75",0,22,"33,25",24,50,50,11,"16,5","28,08"
Male,19,IT,In full-time Education,In or completed vet education,"66,75","83,5","83,5","77,92","83,5","83,5","66,75","55,67","66,75","33,5","65,35","91,75","58,5",50,"16,5","54,19","41,5","60,2","55,67",75,"59,28","58,25","91,75","44,33",50,"61,54"
Male,21,IT,In full-time Education,In or completed vet education,"58,5","83,5",75,"72,33","83,5","58,5",50,"55,67",67,"58,5","62,48","58,5","58,5",50,33,50,"41,5","53,4","44,33",75,"57,39","66,75","91,75","44,33","66,75","66,69"
